Rank,NCT_Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor_Collaborators,Gender,Age Groups,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL
289,NCT02741544,Revlimidå¨ Capsules Special Drug Use-results Survey (in Patients With Newly-diagnosed Multiple Myeloma [NDMM]),Recruiting,No Results Available,Multiple Myeloma,,Celgene Corporation,Both,Adult|Senior,,450,Industry,Observational,Observational Model: Case-Only|Time Perspective: Prospective,NIS-Celgene-JP-PMS-003,"April 5, 2016",Feb-16,Aug-21,"April 13, 2016",Apr-16,No Study Results Posted,null,Aug-21,Adverse Events (AEs),https://ClinicalTrials.gov/show/NCT02741544
290,NCT02741492,Transversus Abdominus Plane Catheters for Open Inguinal Hernia Repair,Recruiting,No Results Available,Post-Operative Pain,Procedure: Transversus Abdominis Plane Block|Procedure: Sham Block,Benaroya Research Institute,Both,Adult|Senior,,90,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Outcomes Assessor)",Benaroya Research Institute,"April 12, 2016",Apr-16,Apr-19,"April 13, 2016",Apr-16,No Study Results Posted,null,Apr-18,Opioid Consumption (Intravenous Morphine Equivalents)|Pain (Numeric Rating)|Activity Assessment Score,https://ClinicalTrials.gov/show/NCT02741492
291,NCT02741362,"Safety and Efficacy of Adipose Derived Stem Cells in Refractory Rheumatoid Arthritis, Systemic Lupus Erythematosus or Sharp's Syndrome",Recruiting,No Results Available,Systemic Lupus Erythematosus|Rheumatoid Arthritis|Sharp's Syndrome,Other: Intravenous injection of Stromal Vascular Fraction Cells (SVF) containing ADSCs|Other: Lipoaspiration,Arkansas Heart Hospital,Both,Adult|Senior,Phase 1,20,Other,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,ICMS-2015-51,"April 6, 2016",Dec-15,null,"April 18, 2016",Apr-16,No Study Results Posted,null,Dec-17,Frequency of Adverse Events (AE) and Serious Adverse Events (SAE) during a 6 month follow up period.|Quality of Life Questionnaires for SLE/ RA|Quality of Life Questionnaires for RA|Blood Flow Cytometry for CD4+CD25+Foxp3+ regulatory T cells|Blood Flow Cytometry for CD3+CD8-IL17A+TH17 cells|Serum C- reactive protein (CRP)|Erythrocyte Sedimentation Rate (ESR)|Serum Tumor Necrosis Factor- alpha (TNFa)|Serum Transforming Growth Factor- beta (TGFb)|Serum Interleukin- 6 (IL-6)|Serum Interleukin- 17 (IL-17),https://ClinicalTrials.gov/show/NCT02741362
292,NCT02741349,Thromboembolic and Bleeding Risk Stratification in Patients With Non-valvular Atrial Fibrillation,Recruiting,No Results Available,Atrial Fibrillation,,Saint Antoine University Hospital,Both,Adult|Senior,,825,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2014-A00280-47,"April 7, 2016",Jul-15,Jun-21,"April 12, 2016",Apr-16,No Study Results Posted,FASTRHAC,Dec-20,"composite endpoint of all-cause death, acute heart failure, stroke, acute coronary syndrome and major bleeding episode|incidence of all-cause death|incidence of cardiovascular death|incidence of acute heart failure|incidence of stroke|incidence of acute coronary syndrome|incidence of major bleeding episodes",https://ClinicalTrials.gov/show/NCT02741349
293,NCT02741336,Electrophysiologic Changes in Blacks Treated With CBT for Insomnia,Recruiting,No Results Available,Insomnia,Behavioral: Cognitive Behavioral Therapy for Insomnia (CBT-I)|Behavioral: Self-Monitoring,State University of New York - Downstate Medical Center|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),Female,Adult,,10,Other,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Primary Purpose: Treatment,675013,"April 13, 2016",Nov-15,Nov-16,"April 15, 2016",Apr-16,No Study Results Posted,null,Nov-16,Sleep Diary|QEEG tests of cognition,https://ClinicalTrials.gov/show/NCT02741336
294,NCT02741310,Study to Evaluate the Effect on Blood Pressure of AMG 334 Given Concomitantly With Subcutaneous Sumatriptan,Recruiting,No Results Available,Healthy Subjects,Drug: Placebo|Drug: Sumatriptan|Drug: Placebo|Drug: Sumatriptan|Drug: AMG 334,Amgen,Both,Adult,Phase 1,30,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Outcomes Assessor)",20140255,"February 19, 2016",Feb-16,Jul-16,"April 13, 2016",Apr-16,No Study Results Posted,null,Apr-16,Change in individiual time-weighted averages of the mean arterial blood pressure in subjects.,https://ClinicalTrials.gov/show/NCT02741310
295,NCT02741297,VELOCITY: A Study to Characterize Real-World Outcomes of Spinal Cord Stimulation,Recruiting,No Results Available,Chronic Pain,Device: Spinal Cord Stimulation (SCS) System,Boston Scientific Corporation,Both,Adult|Senior,,60,Industry,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,91113648,"April 14, 2016",Apr-16,Dec-18,"April 19, 2016",Apr-16,No Study Results Posted,null,Jan-18,Change in proportion of low back pain responders,https://ClinicalTrials.gov/show/NCT02741297
296,NCT02741258,Mepitel Film Treatment for the Prevention and Cutaneous Toxicity Due to Radiotherapy,Recruiting,No Results Available,Post-surgery Radiotherapy,Device: Mepitel Film|Drug: skin cream,Dario Valcarenghi|Oncology Institute of Southern Switzerland,Female,Adult|Senior,Phase 3,164,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,IOSI-INF-001,"March 15, 2016",Oct-15,Dec-18,"April 20, 2016",Apr-16,No Study Results Posted,null,Dec-18,Mepitel Film efficacy in treating skin toxicity evaluatet with Common Terminology Criteria for Adverse Events (CTCAE)|Time for the skin toxicity appearance and resolution|Severity of the chronic skin toxicity,https://ClinicalTrials.gov/show/NCT02741258
297,NCT02741232,Comparison of Perioperative Opioid Consumption Following Pectoral Nerve Block for Breast Cancer Surgery,Recruiting,No Results Available,Nerve Block|Mastectomy,Drug: Lidocaine 1% with epinephrine 1/400000|Other: sham block,Maisonneuve-Rosemont Hospital,Female,Adult|Senior,,50,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)",15075,"April 13, 2016",Mar-16,Sep-16,"April 15, 2016",Apr-16,No Study Results Posted,null,Sep-16,Intraoperative remifentanil consumption for the first 30 minutes of surgery|Total intraoperative remifentanil consumption|Total intraoperative sevoflurane consumption|Postoperative pain evaluation|Postoperative nausea and vomiting evaluation|Total time in the recovery room|Postoperative opioid consumption,https://ClinicalTrials.gov/show/NCT02741232
298,NCT02741219,A Multicenter Study: Dexmedetomidine Combined With Sufentanil for Patient Controlled Intravenous Analgesia After Caesarean Section,Recruiting,No Results Available,Postoperative Pain,Drug: Normal saline|Drug: Dexmedetomidine|Drug: Sufentanil|Drug: Sufentanil and dexmedetomidine,Obstetrics & Gynecology Hospital of Fudan University,Female,Adult,Phase 4,264,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Outcomes Assessor)",OBGynFudanU,"March 11, 2016",Nov-15,Jul-16,"April 13, 2016",Apr-16,No Study Results Posted,null,Jul-16,Sufentanil consumption|Changes in pain score|Changes in Ramsay sedation score (RSS)|Changes in systolic blood pressure|Press times of analgesic pump|Changes in heart rate (HR)|Changes in saturation of blood oxygen (SpO2)|Changes in diastolic blood pressure|Changes in mean arterial blood,https://ClinicalTrials.gov/show/NCT02741219
299,NCT02741193,Presurgical Motor Mapping With Transcranial Magnetic Stimulation (TMS),Recruiting,No Results Available,Epilepsy,"Device: The Magstim Rapid2,",New York University School of Medicine,Both,Child|Adult,,14,Other,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Diagnostic|Masking: Open Label,15-00176,"April 8, 2016",Jun-15,Jun-17,"April 15, 2016",Mar-16,No Study Results Posted,null,Jun-17,"The primary outcome measure will be spatial correlation between topographic maps of hand motor representation obtained through nTMS compared to direct, extra-operative cortical stimulation performed as part of routine clinical care",https://ClinicalTrials.gov/show/NCT02741193
300,NCT02741180,Sparsity-based Magnetic Resonance Imaging of Cardiac Arrhythmias,Recruiting,No Results Available,Cardiac Arrythmias,Other: 3D Imaging|Other: Late Gadolinium Enhancement (LGE),New York University School of Medicine,Both,Child|Adult|Senior,,135,Other,Interventional,Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Diagnostic|Masking: Open Label,15-00116,"March 29, 2016",Nov-14,Nov-17,"April 13, 2016",Apr-16,No Study Results Posted,null,Nov-16,Paired-sample Wilcoxon signed rank test to evaluate measures on Likert scales|Paired-sample t tests for quantitative measures of intensity of image artifacts,https://ClinicalTrials.gov/show/NCT02741180
301,NCT02741167,Pathophysiology of Inflammation After Cytoreductive Surgery and Hyperthermic Intraperitoneal Chemotherapy,Recruiting,No Results Available,Peritoneal Cancer,Procedure: CRS and HIPEC,University of Zurich,Both,Adult|Senior,,90,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,HIPEC 2015-0529,"March 30, 2016",Jan-16,Dec-18,"April 12, 2016",Apr-16,No Study Results Posted,null,Dec-18,"C reactive protein (CRP) mg/l, receiver operating characteristic (ROC)",https://ClinicalTrials.gov/show/NCT02741167
302,NCT02741089,Bronchoscopy Registry,Recruiting,No Results Available,Indications for Flexible Bronchoscopy,Procedure: Indication for a flexible bronchoscopy,RWTH Aachen University,Both,Adult|Senior,,100,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,15-149,"February 17, 2016",Feb-16,Feb-17,"April 12, 2016",Apr-16,No Study Results Posted,BSK,Feb-17,"demographic data|indication for flexible bronchoscopy|smoking behaviour|relevant side diseases|lung function parameters|anesthetic risk (ASA-Score)|vital signs|detection of complications depending on the different analgosedations|duration of medical examination|medication (e.g. midazolam, fentanyl, propofol, lidocain)|general tolerance for the procedure and different symptoms like emesis, feeling of suffocation, cough and pain (0 = no stress, 100 = intolerable)|grade of amnesia|acceptance for later bronchoscopies|identification of prognostic factors related to complications",https://ClinicalTrials.gov/show/NCT02741089
303,NCT02740998,Long-Acting Progestin Contraception and the Vaginal Microbiome,Recruiting,No Results Available,Sexually Transmitted Infection,,Boston Medical Center,Female,Adult,,35,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,H-34707,"March 29, 2016",Mar-16,Apr-17,"April 12, 2016",Apr-16,No Study Results Posted,vMICROb,Apr-17,Biomarker discovery|Correlation of disease state and metadata factors with microbiome structure,https://ClinicalTrials.gov/show/NCT02740998
304,NCT02740959,Effects of PG2 on Fatigue-Related Symptom Clusters,Recruiting,No Results Available,Cancer-related Fatigue,Drug: Astragalus Polysaccharides 500 mg|Drug: Astragalus Polysaccharides 250 mg,Taipei Medical University,Both,Adult|Senior,,75,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)",N201509006,"February 16, 2016",Mar-16,Dec-16,"April 18, 2016",Apr-16,No Study Results Posted,null,Aug-16,Pittsburgh Sleep Quality Scale|Hospital Anxiety and Depression Scale|Actigraphy measuring circadian rhythm,https://ClinicalTrials.gov/show/NCT02740959
305,NCT02740881,Web-Based Contingency Management Training for Addictions,Recruiting,No Results Available,Substance Abuse Problem,Other: Counselor Training Methods,"Sheidow Consulting, Inc.|Oregon Social Learning Center",Both,Adult|Senior,,150,Other,Interventional,Allocation: Randomized|Intervention Model: Factorial Assignment|Primary Purpose: Health Services Research|Masking: Open Label,R44DA033745,"November 25, 2015",Nov-15,Sep-17,"April 12, 2016",Apr-16,No Study Results Posted,CM-TSS,Sep-17,"Impact of training support on outpatient counselor fidelity to Contingency Management Substance Abuse Treatment Model measured using CM Therapist Adherence Measure (CM-TAM)|Impact of training support on outpatient counselor fidelity to Contingency Management Substance Abuse Treatment Model measured using session tape review and scoring|Impact of training support on outpatient counselor knowledge of, and fidelity to, the Contingency Management Substance Abuse Treatment Model measured using Contingency Management Knowledge Test (CM-KT)|Impact of training support on outpatient counselor fidelity to Contingency Management Substance Abuse Treatment Model measured using treatment outcomes.|Impact of training support on client satisfaction with treatment.|Assessment of Counselor Training Satisfaction with Satisfaction Survey administration.|Assessment of Counselor Satisfaction with Training and Training Support with Focus Group Outcomes",https://ClinicalTrials.gov/show/NCT02740881
306,NCT02740868,Xenon-129 Lung Magnetic Resonance Imaging: Study of Healthy Volunteers and Participants With Pulmonary Disease,Recruiting,No Results Available,Cystic Fibrosis|Asthma,Drug: Xenon-129|Device: Magnetic Resonance Imaging|Device: Lung Clearance Index,The Hospital for Sick Children,Both,Child|Adult|Senior,Phase 2,30,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Diagnostic|Masking: Open Label,1000048243,"August 19, 2015",Aug-15,Aug-17,"April 12, 2016",Apr-16,No Study Results Posted,null,Dec-16,Significant differences in lung function between CF and healthy group and asthma and healthy group for ventilation defect percent (VDP) measurement,https://ClinicalTrials.gov/show/NCT02740868
307,NCT02740816,Comparative Study of Menstrual Blood and Systemic Blood,Recruiting,No Results Available,Retention; Menstruation,Other: Comparative blood analysis,Stanford University,Female,Adult,,30,Other,Observational,Observational Model: Cohort|Time Perspective: Cross-Sectional,35817,"April 7, 2016",Mar-16,Dec-17,"April 14, 2016",Apr-16,No Study Results Posted,null,Mar-17,Health Markers in Systemic Blood vs. Menstrual Blood,https://ClinicalTrials.gov/show/NCT02740816
308,NCT02740777,Evaluating the 2-dose Immunization Schedule of Human Papillomavirus (HPV)-16/18 in Adolescent Females,Recruiting,No Results Available,Human Papillomavirus|Cervical Intraepithelial Neoplasia|Persistent Infection,Biological: HPV-16/18 vaccine,"Shanghai Zerun Biotechnology Co.,Ltd|Guangxi Center for Disease Control and Prevention",Female,Child|Adult,Phase 2,900,Industry|Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label,311-HPV-1004,"April 5, 2016",Feb-16,May-19,"April 14, 2016",Apr-16,No Study Results Posted,null,Nov-16,HPV-16 and HPV-18 antibody titers (GMT)|HPV-16 and HPV-18 antibody titers (GMT) and the seroconversion rate|Local and systemic adverse events (AEs),https://ClinicalTrials.gov/show/NCT02740777
